volume.identifier;volume.startDate;volume.endDate;volume.label;volume.description;volume.publisher;volume.language;volume.siv_url;volume.nakala_doi;volume.noSketch_volume
LL114;1433;1437;Registre de conclusions capitulaires LL114 de Notre-Dame de Paris (1433-1437);"Images du registre LL114 (1433-1437) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_731;10.34847/nkl.c0252nd0;LL114
LL115;1440;1445;Registre de conclusions capitulaires LL115 de Notre-Dame de Paris (1440-1445);"Images du registre LL115 (1440-1445) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_788;10.34847/nkl.3d7b9prn;LL115
LL116;1445;1451;Registre de conclusions capitulaires LL116 de Notre-Dame de Paris (1445-1451);"Images du registre LL116 (1445-1451) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_842;10.34847/nkl.80faw0tn;LL116
LL117;1451;1454;Registre de conclusions capitulaires LL117 de Notre-Dame de Paris (1451-1454);"Images du registre LL117 (1451-1454) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_914;10.34847/nkl.d46bv958;LL117
LL118;1453;1456;Registre de conclusions capitulaires LL118 de Notre-Dame de Paris (1453-1456);"Images du registre LL118 (1453-1456) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_956;10.34847/nkl.45917015;LL118
LL119;1456;1460;Registre de conclusions capitulaires LL119 de Notre-Dame de Paris (1456-1460);"Images du registre LL119 (1456-1460) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_998;10.34847/nkl.0a773b99;LL119
LL120;1460;1465;Registre de conclusions capitulaires LL120 de Notre-Dame de Paris (1460-1465);"Images du registre LL120 (1460-1465) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1046;10.34847/nkl.205cj7td;LL120
LL121;1465;1475;Registre de conclusions capitulaires LL121 de Notre-Dame de Paris (1465-1475);"Images du registre LL121 (1465-1475) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1110;10.34847/nkl.e1d046cw;LL121
LL122;1475;1481;Registre de conclusions capitulaires LL122 de Notre-Dame de Paris (1475-1481);"Images du registre LL122 (1475-1481) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1225;10.34847/nkl.f2fb18mf;LL122
LL123-LL124;1481;1489;Registre de conclusions capitulaires LL123-LL124 de Notre-Dame de Paris (1481-1489);"Images du registre LL123-LL124 (1481-1489) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1303;10.34847/nkl.88b5t9xe;LL123_124
LL125;1489;1493;Registre de conclusions capitulaires LL125 de Notre-Dame de Paris (1489-1493);"Images du registre LL125 (1489-1493) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1406;10.34847/nkl.b6290x62;LL125
LL126;1493;1498;Registre de conclusions capitulaires LL126 de Notre-Dame de Paris (1493-1498);"Images du registre LL126 (1493-1498) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1454;10.34847/nkl.c33f4e1n;LL126
LL127-LL128;1497;1504;Registre de conclusions capitulaires LL127-LL128 de Notre-Dame de Paris (1497-1504);"Images du registre LL127-LL128 (1497-1504) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_1507;10.34847/nkl.7a9e99jb;LL127_128
